Marital_Status,Application_Type,Application_Order,Academic_Path,Daytime_Attendance,Previous_Qualification,Previous_Qualification_(Grade),Nationality,Admission_Grade,Displaced,Special_Needs,Debtor,Tuition_Current,Gender,Scholarship_Holder,Age_At_Enrollment,1st_Sem_Units_Credited,1st_Sem_Units_Enrolled,1st_Sem_Units_Evaluations,1st_Sem_Units_Approved,1st_Sem_Units_Grade,1st_Sem_Units_Without_Evaluations,2nd_Sem_Units_Credited,2nd_Sem_Units_Enrolled,2nd_Sem_Units_Evaluations,2nd_Sem_Units_Approved,2nd_Sem_Units_Grade,2nd_Sem_Units_Without_Evaluations,Unemployment_Rate,Inflation_Rate,GDP,Dropped_Out
single,2nd phase - general contingent,Other,Animation and Multimedia Design,1,Secondary education,122.0,Portuguese,127.3,1,0,0,1,Male,0,20,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,1
single,International student (bachelor),Second Choice,Tourism,1,Secondary education,160.0,Portuguese,142.5,1,0,0,0,Male,0,19,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,0
single,1st Phase,Other,Communication Design,1,Secondary education,122.0,Portuguese,124.8,1,0,0,0,Male,0,19,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,1
single,2nd phase - general contingent,Third Choice,Journalism and Communication,1,Secondary education,122.0,Portuguese,119.6,1,0,0,1,Female,0,20,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,0
married,Over 23 years old,Second Choice,Social Service,0,Secondary education,100.0,Portuguese,141.5,0,0,0,1,Female,0,45,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,0
married,Over 23 years old,Second Choice,Management,0,Below Secondary,133.1,Portuguese,114.8,0,0,1,1,Male,0,50,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,0
single,1st Phase,Second Choice,Nursing,1,Secondary education,142.0,Portuguese,128.4,1,0,0,1,Female,1,18,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,0
single,3rd phase - general contingent,Other,Tourism,1,Secondary education,119.0,Portuguese,113.1,1,0,0,0,Male,0,22,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,1
single,1st Phase,Other,Social Service,1,Secondary education,137.0,Other,129.3,0,0,0,1,Female,1,21,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,0
single,1st Phase,Second Choice,Social Service,1,Secondary education,138.0,Portuguese,123.0,1,0,1,0,Female,0,18,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,1
single,1st Phase,Second Choice,Advertising and Marketing Management,1,Secondary education,139.0,Portuguese,130.6,1,0,0,1,Female,0,18,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,0
single,1st Phase,Second Choice,Nursing,1,Secondary education,136.0,Portuguese,119.3,1,0,0,1,Female,1,18,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,0
single,1st Phase,Third Choice,Basic Education,1,Secondary education,133.0,Portuguese,130.2,1,0,0,1,Female,0,19,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,1
single,Diploma Holder,Second Choice,Tourism,1,Professional higher technical course,110.0,Portuguese,111.8,1,0,0,1,Female,1,21,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,0
single,1st Phase,Second Choice,Veterinary Nursing,1,Secondary education,149.0,Portuguese,137.1,1,0,0,1,Female,1,18,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,0
single,1st Phase,Second Choice,Journalism and Communication,1,Secondary education,127.0,Portuguese,120.7,1,0,0,1,Female,0,20,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,1
single,3rd phase - general contingent,Second Choice,Social Service,1,Secondary education,137.0,Portuguese,137.4,1,0,0,1,Female,0,18,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,0
single,2nd phase - general contingent,Third Choice,Nursing,1,Secondary education,135.0,Portuguese,127.3,1,0,0,1,Female,0,18,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,0
single,1st Phase,Second Choice,Equinculture,1,Secondary education,137.0,Portuguese,136.3,1,0,0,1,Female,0,20,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,0
single,1st Phase,Second Choice,Basic Education,1,Secondary education,140.0,Portuguese,124.6,1,0,0,1,Female,0,18,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,0
single,1st Phase,Other,Animation and Multimedia Design,1,Secondary education,122.0,Portuguese,120.3,0,0,0,1,Female,1,21,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,0
single,3rd phase - general contingent,Other,Oral Hygiene,1,Secondary education,127.0,Portuguese,121.8,1,0,0,1,Female,0,20,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,0
single,1st Phase,Other,Nursing,1,Secondary education,142.0,Portuguese,125.5,1,0,0,1,Female,0,18,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,0
single,1st Phase,Other,Advertising and Marketing Management,1,Secondary education,125.0,Portuguese,114.9,1,0,0,1,Female,1,19,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,0
single,1st Phase,Second Choice,Nursing,1,Secondary education,126.0,Portuguese,123.9,0,0,0,1,Female,0,19,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,0
single,1st Phase,Second Choice,Social Service,1,Secondary education,151.0,Portuguese,157.0,1,0,1,1,Female,1,18,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,0
single,2nd phase - general contingent,Third Choice,Social Service,1,Secondary education,115.0,Portuguese,116.4,1,0,0,1,Female,0,21,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,0
single,1st Phase,Second Choice,Veterinary Nursing,1,Secondary education,138.0,Portuguese,131.0,1,0,0,1,Female,0,18,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,0
single,1st Phase,Second Choice,Management,1,Secondary education,135.0,Portuguese,122.1,1,0,0,1,Female,0,20,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,0
single,2nd phase - general contingent,Third Choice,Nursing,1,Secondary education,127.0,Portuguese,118.8,1,0,0,1,Male,0,19,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,0
single,Diploma Holder,Second Choice,Agronomy,1,Technological specialization course,150.0,Portuguese,150.0,0,0,0,1,Male,0,21,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,0
single,Change of course and/or institution,Second Choice,Communication Design,1,Secondary education,125.0,Portuguese,130.0,1,0,0,1,Male,0,20,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,0
single,1st Phase,Second Choice,Management,1,Secondary education,143.0,Portuguese,138.8,0,0,0,0,Male,0,18,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,0
single,3rd phase - general contingent,Second Choice,Social Service,0,Secondary education,138.0,Portuguese,134.5,1,0,0,1,Female,0,19,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,0
single,1st Phase,Second Choice,Management,0,Secondary education,130.0,Portuguese,131.4,0,0,0,1,Male,0,34,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,0
single,Over 23 years old,Second Choice,Biofuel Production Technologies,1,Secondary education,130.0,Portuguese,102.5,0,0,1,0,Male,0,37,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,1
single,Over 23 years old,Second Choice,Informatics Engineering,1,Below Secondary,133.1,Portuguese,128.8,1,0,0,1,Male,0,43,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,1
